Iteration:418, Loss:0.019
Iteration:419, Loss:0.019
Iteration:420, Loss:0.019
Iteration:421, Loss:0.019
Iteration:422, Loss:0.019
Iteration:423, Loss:0.019
Iteration:424, Loss:0.019
Iteration:425, Loss:0.019
Iteration:426, Loss:0.019
Iteration:427, Loss:0.019
Iteration:428, Loss:0.019
Iteration:429, Loss:0.019
Iteration:430, Loss:0.019
Iteration:431, Loss:0.019
Iteration:432, Loss:0.019
Iteration:433, Loss:0.019
